#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
70.0%	14000	-178562.0281847132	298.5455516894683	1.0558571753456	16.9
70.5%	14100	-178482.33199751427	296.3826901489651	1.0505058141228285	16.9
71.0%	14200	-178439.135786412	300.0453396677453	1.0499957445232955	16.8
71.5%	14300	-178741.93492567784	302.471192241777	1.0532399046608873	16.8
72.0%	14400	-178345.15901675264	300.1579454055126	1.0532399046608873	16.8
72.5%	14500	-178645.14363633093	303.97157377858264	1.0532399046608873	16.8
73.0%	14600	-178097.63383500095	297.7273517391095	1.0509144082480195	16.8
73.5%	14700	-178462.26093535367	298.716685190497	1.05426292464565	16.8
74.0%	14800	-178645.92897286682	301.8223710988037	1.05426292464565	16.8
74.5%	14900	-178318.4199749749	296.12687091272943	1.0507800718400566	16.8
75.0%	15000	-178407.7784531067	298.7673616715976	1.050381587956755	16.8
75.5%	15100	-178762.87138717013	303.8588118666941	1.050381587956755	16.8
76.0%	15200	-178125.95989340136	296.9912514588821	1.050381587956755	16.8
76.5%	15300	-178805.89241310811	304.1406813279838	1.050381587956755	16.8
77.0%	15400	-178056.2360719232	299.69503835912815	1.0492858443331274	16.8
77.5%	15500	-178346.60784233734	303.8922417952482	1.0492858443331274	16.8
78.0%	15600	-178404.79560808686	300.026926379217	1.0472873379311227	16.8
78.5%	15700	-178332.09639292836	296.18808953445375	1.0474844894904753	16.8
79.0%	15800	-177998.58518181107	298.4842449398369	1.0497903325438325	16.8
79.5%	15900	-177981.93845796067	302.9550626140083	1.0497503273110111	16.8
80.0%	16000	-177764.9081548152	298.6073582295125	1.0469214970991785	16.8
80.5%	16100	-177654.80306803592	301.0151271580007	1.0449669498909364	16.8
81.0%	16200	-178044.3031158517	296.85024979196965	1.045267927734558	16.8
81.5%	16300	-178307.94732313103	301.2456128484223	1.045267927734558	16.8
82.0%	16400	-177942.58774240813	302.51955643293314	1.0448254145544258	16.8
82.5%	16500	-178071.52235404367	307.00310868616776	1.044629989696791	16.8
83.0%	16600	-177810.2705333041	300.4822617430211	1.044629989696791	16.8
83.5%	16700	-178206.56817171228	304.3618348710068	1.0464543979624854	16.8
84.0%	16800	-177985.9983662155	300.34047532947164	1.0456860379673516	16.8
84.5%	16900	-178171.9445278824	301.7064334180399	1.047108490656714	16.8
85.0%	17000	-177686.78638240925	295.4091137399588	1.0455011972157986	16.8
85.5%	17100	-178250.05135414004	297.98784459985603	1.046015720341827	16.8
86.0%	17200	-178220.66822139506	303.40170147002374	1.046015720341827	16.8
86.5%	17300	-177915.68864657078	295.8871271944486	1.0489698149925892	16.8
87.0%	17400	-178350.74604650197	300.72851437569796	1.0534788974183995	16.8
87.5%	17500	-178012.3992521298	299.7195301877672	1.0534788974183995	16.8
88.0%	17600	-178739.57598333177	307.19517093658527	1.0505839786202351	16.8
88.5%	17700	-178733.63285479878	305.7940887383023	1.0505839786202351	16.8
89.0%	17800	-178894.08573157465	305.96336535277436	1.0529713939518595	16.8
89.5%	17900	-178252.5822191136	298.2839428439788	1.0529713939518595	16.8
90.0%	18000	-178462.66222663727	304.1015816771379	1.0529713939518595	16.8
90.5%	18100	-178186.16414275012	300.2567105546605	1.0506355033305117	16.8
91.0%	18200	-178307.15558150495	303.74222350096636	1.0518592814556047	16.8
91.5%	18300	-178289.4000982859	301.7084084025876	1.050790559184778	16.8
92.0%	18400	-178530.2806721764	300.36266348854315	1.054452951647816	16.8
92.5%	18500	-178756.58387002465	302.69050119344945	1.055155378693809	16.8
93.0%	18600	-178871.31953719593	301.55193419228306	1.055155378693809	16.8
93.5%	18700	-178685.62730347784	304.33549917323313	1.0569777994060054	16.8
